Покупательская активность,Тип сервиса,Разрешить сообщать,Маркет_актив_6_мес,Длительность,Акционные_покупки,Популярная_категория,Средний_просмотр_категорий_за_визит,Выручка_от_клиента_текущий_месяц,Разность_выручки_тек_прошлый_месяц,Ошибка_сервиса,Страниц_за_визит,Всего_минут_текущем_месяце,Всего_минут_предыдущий_месяц
Снизилась,стандарт,да,2,717,0.22,Техника для красоты и здоровья,2,4425,-605,1,5,14,13
Снизилась,стандарт,да,2,917,0.99,Домашний текстиль,3,4472,-496,2,5,12,10
Снизилась,стандарт,нет,3,369,0.24,Мелкая бытовая техника и электроника,1,4826,-421,1,5,13,8
Снизилась,стандарт,да,4,814,0.99,Домашний текстиль,3,4793,-910,6,4,13,11
Снизилась,стандарт,нет,2,409,0.23,Косметика и аксесуары,2,4594,-809,3,2,11,8
Снизилась,стандарт,да,4,896,0.22,Мелкая бытовая техника и электроника,2,4506,-155,1,4,10,10
Снизилась,стандарт,да,4,492,0.4,Кухонная посуда,3,4503,-788,7,2,12,11
Снизилась,стандарт,да,4,883,0.29,Техника для красоты и здоровья,2,4749,-991,6,4,10,12
Снизилась,стандарт,да,3,904,0.24,Товары для детей,2,4433,-191,1,3,7,6
Снизилась,стандарт,да,4,878,0.35,Домашний текстиль,2,4623,-232,9,5,6,12
Снизилась,премиум,да,2,686,0.35,Техника для красоты и здоровья,4,4727,-826,6,4,10,14
Снизилась,стандарт,да,4,242,0.4,Кухонная посуда,1,4494,-165,4,2,11,13
Снизилась,премиум,да,1,1070,0.35,Мелкая бытовая техника и электроника,2,4799,-337,4,7,6,9
Снизилась,премиум,да,2,373,0.23,Товары для детей,2,4597,-494,2,3,13,11
Снизилась,стандарт,да,4,592,0.94,Товары для детей,2,4765,-301,6,4,13,13
Снизилась,стандарт,да,2,740,0.29,Косметика и аксесуары,2,4633,-918,3,1,5,8
Снизилась,стандарт,да,5,545,0.98,Мелкая бытовая техника и электроника,2,4942,-569,3,3,9,11
Снизилась,премиум,нет,3,199,0.95,Мелкая бытовая техника и электроника,2,4190,-258,2,5,10,6
Снизилась,премиум,нет,4,730,0.22,Мелкая бытовая техника и электроника,1,4335,-467,7,7,14,8
Снизилась,стандарт,нет,4,665,0.4,Косметика и аксесуары,1,4668,-331,4,1,7,8
Снизилась,премиум,нет,4,732,0.24,Мелкая бытовая техника и электроника,1,4536,-858,6,1,9,11
Снизилась,стандарт,да,3,490,0.21,Товары для детей,2,4931,-892,3,4,9,8
Снизилась,стандарт,да,4,436,0.4,Мелкая бытовая техника и электроника,1,4535,-467,5,5,10,7
Снизилась,стандарт,да,4,372,0.21,Кухонная посуда,1,4742,-1378,6,1,10,10
Снизилась,стандарт,нет,5,451,0.39,Товары для детей,2,4762,-597,4,5,9,9
Снизилась,стандарт,да,4,600,0.9,Кухонная посуда,1,4293,-226,5,3,8,10
Снизилась,стандарт,нет,3,429,0.98,Домашний текстиль,2,4666,-731,2,2,8,11
Снизилась,премиум,да,3,1043,0.89,Мелкая бытовая техника и электроника,3,4715,-359,7,4,9,8
Снизилась,премиум,нет,2,823,0.98,Косметика и аксесуары,2,4723,-892,5,4,9,8
Снизилась,стандарт,нет,5,799,0.27,Косметика и аксесуары,3,4273,-549,8,5,7,8
Снизилась,премиум,да,2,656,0.39,Товары для детей,2,4302,-506,4,3,8,12
Снизилась,стандарт,да,3,476,0.98,Косметика и аксесуары,2,4360,40,3,5,15,10
Снизилась,стандарт,нет,2,670,0.94,Домашний текстиль,4,5051,-684,4,7,14,12
Снизилась,премиум,да,4,750,0.33,Косметика и аксесуары,1,4503,-643,6,5,9,9
Снизилась,стандарт,да,5,640,0.89,Кухонная посуда,1,4824,-481,7,6,8,15
Снизилась,премиум,да,3,760,0.33,Домашний текстиль,2,4729,-554,2,4,10,7
Снизилась,стандарт,да,4,316,0.34,Товары для детей,1,4226,-428,8,3,12,11
Снизилась,премиум,да,4,689,0.24,Домашний текстиль,2,4707,-985,4,4,8,10
Снизилась,премиум,да,2,980,0.98,Техника для красоты и здоровья,3,4751,-1070,7,5,8,14
